Units,Units_forecasted,date,SSC,Product,Data_type
2001.3487294321953,5174.060937892211,10/11/2021,SSC China/HK,BU_VIZ,00_Sales_Revenues_LC
1889.4440251445517,2881.2781199754436,11/6/2021,SSC Benelux,SBU_MCS,00_Sales_Revenues_LC
4943.166590934592,5906.578778121383,11/17/2021,SSC China/HK,SBU_MCS,00_Sales_Revenues_LC
3577.8970231733033,9225.583345012165,12/6/2021,SSC Germany,BU_ODX,00_Sales_Revenues_LC
3770.5796231476734,5542.84101,12/14/2021,SSC Benelux,SBU_MCS,00_Sales_Revenues_LC
4165.735662906183,763.5333156473714,12/18/2021,SSC AUSNZ,BU_VIZ,00_Sales_Revenues_LC
7573.483422,6018.948047629454,1/21/2022,SSC China/HK,BU_VIZ,00_Sales_Revenues_LC
221.98437604887823,1371.889426501377,2/16/2022,SSC Germany,BU_RAD,00_Sales_Revenues_LC
7274.665830799042,9967.660801552633,2/19/2022,SSC China/HK,BU_ODX,00_Sales_Revenues_LC
7040.283833142833,6380.919135654161,2/22/2022,SSC Benelux,BU_ODX,00_Sales_Revenues_LC
3014.6339413536216,611.6636523546009,2/26/2022,SSC Germany,BU_ODX,00_Sales_Revenues_LC
4956.200957377028,4462.412858638882,3/2/2022,SSC Germany,BU_REF,00_Sales_Revenues_LC
5807.444142,3934.025275630097,3/9/2022,SSC Germany,ALL_MED,00_Sales_Revenues_LC
2594.161705757051,9000.080139671025,3/15/2022,SSC Germany,ALL_MED,00_Sales_Revenues_LC
5568.188098883692,4782.325865,4/15/2022,SSC Benelux,ALL_MED,00_Sales_Revenues_LC
6451.065476220931,3861.7735044974706,4/16/2022,SSC Germany,BU_REF,00_Sales_Revenues_LC
575.2678631282809,6098.993598635655,4/18/2022,SSC Germany,SBU_MCS,00_Sales_Revenues_LC
111.7651908171596,3494.9440195071306,4/22/2022,SSC Benelux,BU_ODX,00_Sales_Revenues_LC
3015.3692460290085,9060.479616831282,5/11/2022,SSC AUSNZ,SBU_MCS,00_Sales_Revenues_LC
4160.767391748655,6154.237882308017,5/20/2022,SSC Benelux,BU_RAD,00_Sales_Revenues_LC
624.9947102016987,6586.240264751889,5/24/2022,SSC Germany,BU_REF,00_Sales_Revenues_LC
8198.594299,2254.862035604295,5/27/2022,SSC AUSNZ,SBU_OPT,00_Sales_Revenues_LC
4534.814337962426,7657.132122,6/7/2022,SSC China/HK,SBU_OPT,00_Sales_Revenues_LC
3783.9670477136015,2555.979240398662,6/23/2022,SSC Benelux,BU_REF,00_Sales_Revenues_LC
6232.099408,8922.433864688623,7/3/2022,SSC AUSNZ,SBU_OPT,00_Sales_Revenues_LC
8890.115882625048,1376.6783943627129,8/14/2022,SSC AUSNZ,ALL_MED,00_Sales_Revenues_LC
7280.089197890612,8844.595146696189,8/28/2022,SSC China/HK,SBU_MCS,00_Sales_Revenues_LC
9128.780944757813,2230.606372620911,8/29/2022,SSC Germany,BU_RAD,00_Sales_Revenues_LC
8300.775981196577,2826.5027148444833,10/12/2022,SSC Benelux,BU_RAD,00_Sales_Revenues_LC
184.70731481885116,7207.070841572155,10/20/2022,SSC Benelux,SBU_OPT,00_Sales_Revenues_LC
9785.809967400111,8395.579664515733,10/23/2022,SSC Benelux,BU_REF,00_Sales_Revenues_LC
6151.1058682647645,4785.710590661948,10/24/2022,SSC China/HK,SBU_MCS,00_Sales_Revenues_LC
7574.0612585121535,799.1297699038225,11/27/2022,SSC AUSNZ,BU_ODX,00_Sales_Revenues_LC
4529.543052,8808.715080407252,12/19/2022,SSC AUSNZ,BU_RAD,00_Sales_Revenues_LC
2130.0139079635214,7460.9732515514615,12/23/2022,SSC Germany,BU_REF,00_Sales_Revenues_LC
3491.0436828099746,9927.889235555194,1/5/2023,SSC Benelux,BU_REF,00_Sales_Revenues_LC
5398.115539418146,7194.634531848028,1/6/2023,SSC Germany,SBU_MCS,00_Sales_Revenues_LC
5919.833879945894,7295.159532455857,1/8/2023,SSC Germany,ALL_MED,00_Sales_Revenues_LC
8772.817164547381,5288.4881702490975,1/16/2023,SSC Benelux,BU_VIZ,00_Sales_Revenues_LC
316.6641781124423,8266.475962150973,1/26/2023,SSC Germany,BU_REF,00_Sales_Revenues_LC
776.0110106030183,5114.614887947732,1/30/2023,SSC Germany,SBU_OPT,00_Sales_Revenues_LC
9172.302573996665,1054.923982908919,3/15/2023,SSC AUSNZ,ALL_MED,00_Sales_Revenues_LC
3569.2702720316724,1204.402968043439,4/7/2023,SSC China/HK,SBU_MCS,00_Sales_Revenues_LC
2376.237098900857,7200.874092363466,5/2/2023,SSC AUSNZ,BU_VIZ,00_Sales_Revenues_LC
4636.222273914954,8364.566978441775,5/5/2023,SSC Germany,ALL_MED,00_Sales_Revenues_LC
1154.962096307624,5879.180697609966,5/7/2023,SSC Germany,BU_RAD,00_Sales_Revenues_LC
9763.751595055004,8380.929326,6/14/2023,SSC Germany,ALL_MED,00_Sales_Revenues_LC
7608.147123460574,3602.805785987343,9/1/2023,SSC Benelux,SBU_MCS,00_Sales_Revenues_LC
5491.067633610036,9822.173561181624,9/2/2023,SSC Germany,BU_VIZ,00_Sales_Revenues_LC
7978.322320254471,6505.243256457245,9/3/2023,SSC Benelux,SBU_OPT,00_Sales_Revenues_LC
4802.009634,7516.578450008142,9/6/2023,SSC AUSNZ,ALL_MED,00_Sales_Revenues_LC
4505.605674045754,6160.742178041426,10/17/2023,SSC Benelux,SBU_MCS,00_Sales_Revenues_LC
5124.89558,9895.276152787765,11/17/2023,SSC Germany,SBU_MCS,00_Sales_Revenues_LC
6090.915353235651,3384.879756940097,12/31/2023,SSC AUSNZ,BU_REF,00_Sales_Revenues_LC
9570.783517966676,6489.682742631201,1/9/2024,SSC Benelux,BU_VIZ,00_Sales_Revenues_LC
5552.569820102053,9662.940479,1/26/2024,SSC Germany,BU_REF,00_Sales_Revenues_LC
9755.511117520193,1622.8456488438114,1/29/2024,SSC China/HK,BU_REF,00_Sales_Revenues_LC
2986.860703671667,1575.7495232923313,2/1/2024,SSC AUSNZ,BU_ODX,00_Sales_Revenues_LC
1251.3180325187204,4218.593797866738,2/20/2024,SSC China/HK,BU_VIZ,00_Sales_Revenues_LC
,5661.192093611898,3/8/2024,SSC Germany,BU_VIZ,00_Sales_Revenues_LC
,6941.8990879852645,3/9/2024,SSC Benelux,BU_ODX,00_Sales_Revenues_LC
,8089.5188835719055,3/14/2024,SSC AUSNZ,SBU_OPT,00_Sales_Revenues_LC
,3914.1126207392576,3/17/2024,SSC AUSNZ,BU_RAD,00_Sales_Revenues_LC
,7825.8872806468235,5/6/2024,SSC Benelux,BU_RAD,00_Sales_Revenues_LC
,7135.310328823174,5/14/2024,SSC China/HK,BU_ODX,00_Sales_Revenues_LC
,7813.789800265328,6/18/2024,SSC AUSNZ,BU_RAD,00_Sales_Revenues_LC
,8579.579801603431,6/19/2024,SSC Germany,BU_ODX,00_Sales_Revenues_LC
,2410.8784952530714,7/3/2024,SSC AUSNZ,BU_ODX,00_Sales_Revenues_LC
,2025.0569907510853,8/13/2024,SSC China/HK,BU_VIZ,00_Sales_Revenues_LC
,5852.780419683361,9/15/2024,SSC Benelux,BU_RAD,00_Sales_Revenues_LC
,4459.411239942791,9/21/2024,SSC China/HK,SBU_OPT,00_Sales_Revenues_LC
,2553.9453552486148,10/15/2024,SSC Germany,BU_RAD,00_Sales_Revenues_LC
,7813.465105998593,10/20/2024,SSC Benelux,ALL_MED,00_Sales_Revenues_LC
,8976.273799611252,10/22/2024,SSC Benelux,SBU_MCS,00_Sales_Revenues_LC
,8283.808884368349,11/24/2024,SSC AUSNZ,BU_REF,00_Sales_Revenues_LC
,6607.1162996080675,11/26/2024,SSC Germany,SBU_MCS,00_Sales_Revenues_LC
,2440.0946619634997,12/9/2024,SSC Germany,SBU_OPT,00_Sales_Revenues_LC
,4389.676165009618,12/15/2024,SSC AUSNZ,SBU_OPT,00_Sales_Revenues_LC
,3530.952149420033,12/24/2024,SSC Benelux,SBU_MCS,00_Sales_Revenues_LC
,9751.746657494481,2/3/2025,SSC AUSNZ,ALL_MED,00_Sales_Revenues_LC
,5023.656136388437,2/5/2025,SSC Benelux,BU_RAD,00_Sales_Revenues_LC
,8210.475340674308,2/18/2025,SSC AUSNZ,BU_VIZ,00_Sales_Revenues_LC
,991.6784790340143,3/1/2025,SSC Germany,ALL_MED,00_Sales_Revenues_LC
,1317.414048,3/9/2025,SSC China/HK,BU_REF,00_Sales_Revenues_LC
,2804.1424095656084,3/24/2025,SSC China/HK,ALL_MED,00_Sales_Revenues_LC
,5016.127513355099,5/1/2025,SSC AUSNZ,BU_REF,00_Sales_Revenues_LC
,8558.698490269373,5/8/2025,SSC Germany,SBU_MCS,00_Sales_Revenues_LC
,8445.112224074956,5/9/2025,SSC Benelux,ALL_MED,00_Sales_Revenues_LC
,4660.468953517023,5/11/2025,SSC Benelux,SBU_OPT,00_Sales_Revenues_LC
,4805.730622516412,6/1/2025,SSC AUSNZ,BU_REF,00_Sales_Revenues_LC
,7112.0374682308775,6/7/2025,SSC Benelux,BU_VIZ,00_Sales_Revenues_LC
,2218.2729114062126,6/12/2025,SSC AUSNZ,BU_ODX,00_Sales_Revenues_LC
,2127.3036984023665,6/21/2025,SSC China/HK,BU_VIZ,00_Sales_Revenues_LC
,4192.256831176491,9/3/2025,SSC China/HK,ALL_MED,00_Sales_Revenues_LC
,6709.600303782167,9/13/2025,SSC China/HK,SBU_OPT,00_Sales_Revenues_LC
9867.032597757621,5602.4132885802455,11/5/2021,SSC Germany,BU_VIZ,01_Factory_CoGs
9812.67287,8205.207536701608,11/16/2021,SSC AUSNZ,SBU_OPT,01_Factory_CoGs
5159.2294353267935,2623.849840126715,12/4/2021,SSC Germany,BU_RAD,01_Factory_CoGs
2069.5070851412675,7691.682474937114,12/23/2021,SSC AUSNZ,SBU_OPT,01_Factory_CoGs
9001.924956097979,5952.059413655304,1/4/2022,SSC Benelux,BU_REF,01_Factory_CoGs
6584.278606529081,5153.636504847736,1/23/2022,SSC Benelux,SBU_OPT,01_Factory_CoGs
4810.787002,8689.561485177988,3/1/2022,SSC Benelux,BU_REF,01_Factory_CoGs
5197.613306188141,389.1703280555897,3/24/2022,SSC Germany,BU_RAD,01_Factory_CoGs
3297.8348408169322,5066.772544632993,5/8/2022,SSC Germany,SBU_OPT,01_Factory_CoGs
3032.870222295669,8543.033290156061,6/8/2022,SSC Germany,SBU_MCS,01_Factory_CoGs
3294.711236550732,4557.940042187804,7/7/2022,SSC Germany,ALL_MED,01_Factory_CoGs
3019.3975271193913,7157.262498,7/13/2022,SSC Benelux,SBU_OPT,01_Factory_CoGs
6172.011210549503,7663.7421189146235,7/15/2022,SSC Germany,BU_RAD,01_Factory_CoGs
4213.663547629198,4104.937952725513,7/24/2022,SSC AUSNZ,SBU_MCS,01_Factory_CoGs
8872.195648323997,1097.7925924042029,7/29/2022,SSC AUSNZ,BU_VIZ,01_Factory_CoGs
7199.141152419859,1542.3916947551197,8/17/2022,SSC Benelux,BU_ODX,01_Factory_CoGs
3046.8003079851837,8148.229719767492,9/3/2022,SSC China/HK,BU_REF,01_Factory_CoGs
4656.439609506379,3584.9715426789717,9/10/2022,SSC China/HK,ALL_MED,01_Factory_CoGs
838.0917248227557,5775.152996008859,9/19/2022,SSC China/HK,SBU_MCS,01_Factory_CoGs
1932.0782555542266,9286.173628050341,9/22/2022,SSC China/HK,SBU_MCS,01_Factory_CoGs
362.86590958281874,6019.206338035417,10/1/2022,SSC AUSNZ,SBU_OPT,01_Factory_CoGs
4057.228493730833,658.0846214136275,10/15/2022,SSC AUSNZ,BU_ODX,01_Factory_CoGs
5740.522671,3676.234510439871,10/30/2022,SSC China/HK,ALL_MED,01_Factory_CoGs
3221.362923334655,746.8918762698207,11/1/2022,SSC Germany,BU_RAD,01_Factory_CoGs
5130.1462305826835,3944.8042959420513,11/20/2022,SSC AUSNZ,BU_RAD,01_Factory_CoGs
5583.501499,7384.639445130976,2/18/2023,SSC Germany,SBU_MCS,01_Factory_CoGs
